 symptom_or_condition,mapped_specialist,emergency_level,keywords
diabetes symptoms,Endocrinologist,Medium,"condition,symptoms,diabetes,pain,problem"
cardiac arrest,Cardiologist,Critical,"cardiac,arrest,health,issue,condition"
fracture,Orthopedic,High,"symptom,issue,fracture,problem"
chest pain,Cardiologist,High,"symptom,condition,chest,issue,pain"
skin infection,Dermatologist,Low,"skin,issue,condition,problem,infection"
thyroid issue,Endocrinologist,Medium,"condition,health,thyroid,issue,pain"
thyroid issue,Endocrinologist,Medium,"health,issue,problem,thyroid"
tooth pain,Dentist,Low,"symptom,condition,tooth,issue,pain"
fever,General Physician,Low,"health,symptom,pain,fever"
depression,Psychiatrist,Medium,"problem,condition,depression,pain"
depression,Psychiatrist,Medium,"health,issue,condition,depression"
stroke symptoms,Neurologist,Critical,"health,stroke,symptoms,condition,problem"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,condition,problem"
fracture,Orthopedic,High,"health,symptom,fracture,problem"
skin infection,Dermatologist,Low,"symptom,health,skin,condition,infection"
cardiac arrest,Cardiologist,Critical,"cardiac,arrest,health,issue,condition"
depression,Psychiatrist,Medium,"problem,condition,depression,pain"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,issue,pain"
high blood pressure,Cardiologist,Medium,"blood,high,pressure,issue,pain,problem"
migraine,Neurologist,Medium,"health,pain,problem,migraine"
tooth pain,Dentist,Low,"symptom,tooth,issue,pain,problem"
breathing difficulty,Pulmonologist,Critical,"health,breathing,condition,problem,difficulty"
kidney pain,Nephrologist,High,"symptom,kidney,issue,pain"
breathing difficulty,Pulmonologist,Critical,"pain,breathing,condition,problem,difficulty"
asthma attack,Pulmonologist,High,"symptom,attack,asthma,pain,problem"
skin allergy,Dermatologist,Medium,"symptom,condition,skin,allergy,pain"
tooth pain,Dentist,Low,"health,pain,tooth,condition"
tooth pain,Dentist,Low,"condition,health,tooth,issue,pain"
joint pain,Orthopedic,Medium,"joint,health,issue,pain,problem"
kidney pain,Nephrologist,High,"kidney,symptom,condition,pain,problem"
fever,General Physician,Low,"health,issue,condition,fever"
stroke symptoms,Neurologist,Critical,"symptom,health,stroke,symptoms,problem"
ear pain,ENT Specialist,Low,"health,symptom,pain,ear"
skin allergy,Dermatologist,Medium,"skin,allergy,issue,pain,problem"
migraine,Neurologist,Medium,"symptom,condition,pain,migraine"
breathing difficulty,Pulmonologist,Critical,"health,breathing,issue,pain,difficulty"
stroke symptoms,Neurologist,Critical,"pain,stroke,symptoms,issue,condition"
pregnancy complications,Gynecologist,High,"health,complications,pregnancy,condition,problem"
skin infection,Dermatologist,Low,"health,skin,pain,problem,infection"
joint pain,Orthopedic,Medium,"issue,pain,joint,condition"
thyroid issue,Endocrinologist,Medium,"pain,thyroid,issue,condition,problem"
thyroid issue,Endocrinologist,Medium,"pain,thyroid,issue,condition,problem"
skin infection,Dermatologist,Low,"pain,health,skin,condition,infection"
ear pain,ENT Specialist,Low,"condition,health,pain,problem,ear"
tooth pain,Dentist,Low,"health,issue,pain,tooth"
asthma attack,Pulmonologist,High,"condition,attack,asthma,pain,problem"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,health,pain"
fever,General Physician,Low,"health,issue,condition,fever"
kidney pain,Nephrologist,High,"kidney,pain,problem,condition"
tooth pain,Dentist,Low,"symptom,pain,problem,tooth"
breathing difficulty,Pulmonologist,Critical,"symptom,pain,breathing,condition,difficulty"
fever,General Physician,Low,"health,symptom,pain,fever"
stroke symptoms,Neurologist,Critical,"health,stroke,symptoms,issue,problem"
fracture,Orthopedic,High,"symptom,issue,fracture,pain"
thyroid issue,Endocrinologist,Medium,"issue,symptom,problem,thyroid"
chest pain,Cardiologist,High,"symptom,condition,chest,pain,problem"
thyroid issue,Endocrinologist,Medium,"pain,thyroid,issue,condition,problem"
kidney pain,Nephrologist,High,"kidney,health,pain,issue"
skin allergy,Dermatologist,Medium,"symptom,health,skin,allergy,problem"
eye infection,Ophthalmologist,Low,"health,eye,issue,problem,infection"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,condition,problem"
thyroid issue,Endocrinologist,Medium,"issue,pain,problem,thyroid"
migraine,Neurologist,Medium,"health,pain,problem,migraine"
pregnancy complications,Gynecologist,High,"health,complications,pregnancy,condition,problem"
eye infection,Ophthalmologist,Low,"symptom,health,eye,problem,infection"
ear pain,ENT Specialist,Low,"health,pain,ear,condition"
high blood pressure,Cardiologist,Medium,"symptom,health,blood,high,pressure,problem"
tooth pain,Dentist,Low,"condition,health,tooth,issue,pain"
diabetes symptoms,Endocrinologist,Medium,"symptoms,diabetes,issue,condition,problem"
asthma attack,Pulmonologist,High,"attack,health,asthma,issue,pain"
eye infection,Ophthalmologist,Low,"health,eye,pain,problem,infection"
depression,Psychiatrist,Medium,"issue,pain,depression,problem"
stroke symptoms,Neurologist,Critical,"stroke,symptoms,issue,pain,problem"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,issue,problem"
thyroid issue,Endocrinologist,Medium,"condition,health,thyroid,issue,pain"
breathing difficulty,Pulmonologist,Critical,"condition,breathing,issue,pain,difficulty"
eye infection,Ophthalmologist,Low,"symptom,eye,issue,condition,infection"
ear pain,ENT Specialist,Low,"symptom,health,pain,problem,ear"
kidney pain,Nephrologist,High,"kidney,symptom,condition,issue,pain"
skin infection,Dermatologist,Low,"symptom,health,skin,condition,infection"
fever,General Physician,Low,"issue,pain,problem,fever"
stroke symptoms,Neurologist,Critical,"health,stroke,symptoms,condition,problem"
asthma attack,Pulmonologist,High,"attack,asthma,issue,condition,problem"
kidney pain,Nephrologist,High,"symptom,kidney,health,pain"
fever,General Physician,Low,"issue,pain,problem,fever"
pregnancy complications,Gynecologist,High,"complications,pregnancy,issue,pain,problem"
joint pain,Orthopedic,Medium,"issue,problem,pain,joint"
migraine,Neurologist,Medium,"issue,symptom,problem,migraine"
asthma attack,Pulmonologist,High,"symptom,attack,asthma,condition,problem"
asthma attack,Pulmonologist,High,"attack,health,asthma,pain,problem"
skin allergy,Dermatologist,Medium,"symptom,skin,allergy,pain,problem"
eye infection,Ophthalmologist,Low,"pain,health,eye,condition,infection"
fracture,Orthopedic,High,"symptom,fracture,problem,pain"
fracture,Orthopedic,High,"health,issue,fracture,pain"
skin allergy,Dermatologist,Medium,"pain,skin,allergy,issue,condition"
diabetes symptoms,Endocrinologist,Medium,"symptom,health,symptoms,diabetes,issue"
skin infection,Dermatologist,Low,"symptom,skin,issue,pain,infection"
high blood pressure,Cardiologist,Medium,"symptom,blood,high,pressure,issue,condition"
fracture,Orthopedic,High,"symptom,fracture,problem,condition"
diabetes symptoms,Endocrinologist,Medium,"health,symptoms,diabetes,issue,pain"
high blood pressure,Cardiologist,Medium,"condition,health,blood,high,pressure,pain"
high blood pressure,Cardiologist,Medium,"blood,high,pressure,issue,condition,problem"
diabetes symptoms,Endocrinologist,Medium,"symptom,health,symptoms,diabetes,condition"
kidney pain,Nephrologist,High,"kidney,symptom,condition,health,pain"
pregnancy complications,Gynecologist,High,"symptom,pain,complications,pregnancy,condition"
stroke symptoms,Neurologist,Critical,"health,stroke,symptoms,issue,problem"
ear pain,ENT Specialist,Low,"symptom,pain,problem,ear"
joint pain,Orthopedic,Medium,"symptom,joint,health,issue,pain"
ear pain,ENT Specialist,Low,"condition,issue,pain,problem,ear"
tooth pain,Dentist,Low,"issue,pain,problem,tooth"
stroke symptoms,Neurologist,Critical,"symptom,stroke,symptoms,condition,problem"
migraine,Neurologist,Medium,"issue,symptom,pain,migraine"
skin allergy,Dermatologist,Medium,"symptom,health,skin,allergy,problem"
joint pain,Orthopedic,Medium,"symptom,condition,joint,pain,problem"
asthma attack,Pulmonologist,High,"symptom,attack,health,asthma,condition"
tooth pain,Dentist,Low,"health,symptom,pain,tooth"
skin allergy,Dermatologist,Medium,"symptom,skin,allergy,condition,problem"
high blood pressure,Cardiologist,Medium,"symptom,health,blood,high,pressure,pain"
fever,General Physician,Low,"pain,problem,fever,condition"
fever,General Physician,Low,"health,condition,problem,fever"
kidney pain,Nephrologist,High,"kidney,issue,pain,health"
skin infection,Dermatologist,Low,"symptom,skin,condition,problem,infection"
stroke symptoms,Neurologist,Critical,"symptom,stroke,symptoms,condition,problem"
ear pain,ENT Specialist,Low,"symptom,pain,problem,ear"
fracture,Orthopedic,High,"symptom,fracture,problem,condition"
diabetes symptoms,Endocrinologist,Medium,"symptoms,diabetes,issue,condition,problem"
skin infection,Dermatologist,Low,"condition,skin,issue,pain,infection"
joint pain,Orthopedic,Medium,"health,problem,pain,joint"
kidney pain,Nephrologist,High,"kidney,issue,pain,condition"
skin allergy,Dermatologist,Medium,"skin,allergy,issue,pain,problem"
cardiac arrest,Cardiologist,Critical,"cardiac,arrest,health,pain,problem"
chest pain,Cardiologist,High,"chest,issue,pain,problem"
eye infection,Ophthalmologist,Low,"symptom,eye,pain,problem,infection"
eye infection,Ophthalmologist,Low,"symptom,condition,eye,pain,infection"
breathing difficulty,Pulmonologist,Critical,"health,breathing,issue,condition,difficulty"
depression,Psychiatrist,Medium,"health,issue,pain,depression"
migraine,Neurologist,Medium,"pain,problem,condition,migraine"
breathing difficulty,Pulmonologist,Critical,"symptom,health,breathing,issue,difficulty"
fracture,Orthopedic,High,"health,symptom,fracture,condition"
diabetes symptoms,Endocrinologist,Medium,"symptom,symptoms,diabetes,issue,problem"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,issue,pain"
breathing difficulty,Pulmonologist,Critical,"symptom,health,breathing,problem,difficulty"
eye infection,Ophthalmologist,Low,"health,eye,issue,condition,infection"
breathing difficulty,Pulmonologist,Critical,"symptom,health,breathing,condition,difficulty"
skin allergy,Dermatologist,Medium,"symptom,health,skin,allergy,pain"
skin allergy,Dermatologist,Medium,"skin,allergy,issue,condition,problem"
ear pain,ENT Specialist,Low,"symptom,health,pain,problem,ear"
migraine,Neurologist,Medium,"health,issue,condition,migraine"
thyroid issue,Endocrinologist,Medium,"symptom,thyroid,issue,pain,problem"
kidney pain,Nephrologist,High,"kidney,issue,pain,condition"
migraine,Neurologist,Medium,"health,symptom,issue,migraine"
thyroid issue,Endocrinologist,Medium,"health,thyroid,issue,condition,problem"
kidney pain,Nephrologist,High,"kidney,symptom,condition,issue,pain"
tooth pain,Dentist,Low,"condition,health,tooth,issue,pain"
high blood pressure,Cardiologist,Medium,"symptom,blood,high,pressure,issue,condition"
eye infection,Ophthalmologist,Low,"health,eye,condition,problem,infection"
fever,General Physician,Low,"health,symptom,pain,fever"
migraine,Neurologist,Medium,"symptom,condition,problem,migraine"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,health,problem"
migraine,Neurologist,Medium,"health,issue,condition,migraine"
eye infection,Ophthalmologist,Low,"condition,eye,issue,pain,infection"
cardiac arrest,Cardiologist,Critical,"cardiac,arrest,health,pain,problem"
fracture,Orthopedic,High,"health,symptom,fracture,pain"
asthma attack,Pulmonologist,High,"symptom,attack,asthma,issue,pain"
kidney pain,Nephrologist,High,"kidney,condition,issue,pain,problem"
stroke symptoms,Neurologist,Critical,"symptom,health,stroke,symptoms,pain"
tooth pain,Dentist,Low,"issue,pain,tooth,condition"
kidney pain,Nephrologist,High,"kidney,symptom,health,issue,pain"
tooth pain,Dentist,Low,"pain,problem,tooth,condition"
breathing difficulty,Pulmonologist,Critical,"symptom,pain,breathing,condition,difficulty"
skin allergy,Dermatologist,Medium,"symptom,health,skin,allergy,problem"
joint pain,Orthopedic,Medium,"joint,health,issue,pain,problem"
ear pain,ENT Specialist,Low,"health,pain,ear,condition"
asthma attack,Pulmonologist,High,"condition,attack,health,asthma,pain"
migraine,Neurologist,Medium,"health,issue,pain,migraine"
kidney pain,Nephrologist,High,"kidney,health,pain,problem"
tooth pain,Dentist,Low,"health,symptom,pain,tooth"
depression,Psychiatrist,Medium,"issue,pain,depression,condition"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,condition,problem"
fracture,Orthopedic,High,"symptom,fracture,problem,condition"
kidney pain,Nephrologist,High,"kidney,symptom,pain,problem"
stroke symptoms,Neurologist,Critical,"symptom,health,stroke,symptoms,condition"
tooth pain,Dentist,Low,"issue,symptom,pain,tooth"
breathing difficulty,Pulmonologist,Critical,"health,breathing,issue,problem,difficulty"
skin infection,Dermatologist,Low,"symptom,health,skin,problem,infection"
ear pain,ENT Specialist,Low,"health,pain,problem,ear"
cardiac arrest,Cardiologist,Critical,"cardiac,arrest,health,issue,pain"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,pain,problem"
stroke symptoms,Neurologist,Critical,"condition,stroke,symptoms,issue,pain"
fracture,Orthopedic,High,"issue,fracture,pain,condition"
pregnancy complications,Gynecologist,High,"health,complications,pregnancy,condition,problem"
fever,General Physician,Low,"issue,pain,problem,fever"
kidney pain,Nephrologist,High,"kidney,symptom,condition,health,pain"
depression,Psychiatrist,Medium,"symptom,pain,depression,problem"
breathing difficulty,Pulmonologist,Critical,"symptom,breathing,issue,problem,difficulty"
high blood pressure,Cardiologist,Medium,"symptom,blood,high,pressure,issue,problem"
tooth pain,Dentist,Low,"issue,symptom,pain,tooth"
diabetes symptoms,Endocrinologist,Medium,"symptom,symptoms,diabetes,issue,problem"
skin allergy,Dermatologist,Medium,"pain,skin,allergy,issue,condition"
fracture,Orthopedic,High,"symptom,fracture,problem,pain"
thyroid issue,Endocrinologist,Medium,"health,thyroid,issue,pain,problem"
diabetes symptoms,Endocrinologist,Medium,"symptom,health,symptoms,diabetes,issue"
breathing difficulty,Pulmonologist,Critical,"health,breathing,issue,condition,difficulty"
tooth pain,Dentist,Low,"condition,health,tooth,pain,problem"
kidney pain,Nephrologist,High,"kidney,health,issue,pain,problem"
joint pain,Orthopedic,Medium,"issue,symptom,pain,joint"
migraine,Neurologist,Medium,"health,issue,condition,migraine"
tooth pain,Dentist,Low,"condition,health,tooth,pain,problem"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,pain,problem"
skin infection,Dermatologist,Low,"symptom,skin,pain,problem,infection"
asthma attack,Pulmonologist,High,"condition,attack,asthma,pain,problem"
cardiac arrest,Cardiologist,Critical,"cardiac,arrest,health,issue,condition"
high blood pressure,Cardiologist,Medium,"symptom,blood,high,pressure,issue,pain"
tooth pain,Dentist,Low,"symptom,tooth,issue,pain,problem"
skin infection,Dermatologist,Low,"health,skin,issue,pain,infection"
joint pain,Orthopedic,Medium,"problem,pain,joint,condition"
high blood pressure,Cardiologist,Medium,"health,blood,high,pressure,issue,condition"
diabetes symptoms,Endocrinologist,Medium,"symptom,symptoms,diabetes,pain,problem"
fever,General Physician,Low,"symptom,issue,pain,fever"
migraine,Neurologist,Medium,"health,pain,condition,migraine"
eye infection,Ophthalmologist,Low,"health,eye,condition,problem,infection"
migraine,Neurologist,Medium,"health,pain,problem,migraine"
migraine,Neurologist,Medium,"problem,pain,condition,migraine"
fever,General Physician,Low,"health,symptom,problem,fever"
eye infection,Ophthalmologist,Low,"symptom,eye,pain,problem,infection"
breathing difficulty,Pulmonologist,Critical,"symptom,health,breathing,issue,difficulty"
diabetes symptoms,Endocrinologist,Medium,"health,symptoms,diabetes,condition,problem"
migraine,Neurologist,Medium,"health,pain,condition,migraine"
eye infection,Ophthalmologist,Low,"symptom,eye,issue,pain,infection"
fracture,Orthopedic,High,"health,symptom,fracture,problem"
skin allergy,Dermatologist,Medium,"health,skin,allergy,issue,condition"
fever,General Physician,Low,"health,condition,fever,pain"
migraine,Neurologist,Medium,"issue,symptom,condition,migraine"
breathing difficulty,Pulmonologist,Critical,"breathing,issue,pain,problem,difficulty"
joint pain,Orthopedic,Medium,"health,problem,pain,joint"
chest pain,Cardiologist,High,"chest,symptom,pain,problem"
diabetes symptoms,Endocrinologist,Medium,"condition,symptoms,diabetes,pain,problem"
asthma attack,Pulmonologist,High,"symptom,attack,asthma,condition,problem"
breathing difficulty,Pulmonologist,Critical,"symptom,health,breathing,problem,difficulty"
migraine,Neurologist,Medium,"health,condition,problem,migraine"
ear pain,ENT Specialist,Low,"condition,issue,pain,problem,ear"
migraine,Neurologist,Medium,"health,symptom,pain,migraine"
chest pain,Cardiologist,High,"chest,health,symptom,pain"
tooth pain,Dentist,Low,"symptom,issue,pain,tooth"
asthma attack,Pulmonologist,High,"symptom,attack,asthma,issue,problem"
diabetes symptoms,Endocrinologist,Medium,"symptom,symptoms,diabetes,issue,pain"
asthma attack,Pulmonologist,High,"condition,attack,asthma,issue,pain"
high blood pressure,Cardiologist,Medium,"symptom,blood,high,pressure,issue,condition"
fracture,Orthopedic,High,"health,symptom,fracture,problem"
breathing difficulty,Pulmonologist,Critical,"breathing,issue,condition,problem,difficulty"
skin allergy,Dermatologist,Medium,"skin,allergy,issue,pain,problem"
breathing difficulty,Pulmonologist,Critical,"symptom,health,breathing,pain,difficulty"
cardiac arrest,Cardiologist,Critical,"condition,cardiac,arrest,issue,pain"
fracture,Orthopedic,High,"issue,fracture,problem,pain"
migraine,Neurologist,Medium,"health,issue,pain,migraine"
asthma attack,Pulmonologist,High,"symptom,attack,health,asthma,pain"
chest pain,Cardiologist,High,"chest,issue,pain,problem"
stroke symptoms,Neurologist,Critical,"health,stroke,symptoms,issue,pain"
stroke symptoms,Neurologist,Critical,"stroke,symptoms,issue,condition,problem"
joint pain,Orthopedic,Medium,"symptom,condition,joint,pain,problem"
migraine,Neurologist,Medium,"symptom,condition,problem,migraine"
skin allergy,Dermatologist,Medium,"pain,skin,allergy,condition,problem"
fever,General Physician,Low,"health,symptom,condition,fever"
diabetes symptoms,Endocrinologist,Medium,"symptom,health,symptoms,diabetes,problem"
diabetes symptoms,Endocrinologist,Medium,"symptom,pain,symptoms,diabetes,condition"
tooth pain,Dentist,Low,"health,symptom,pain,tooth"
ear pain,ENT Specialist,Low,"condition,health,issue,pain,ear"
breathing difficulty,Pulmonologist,Critical,"condition,health,breathing,pain,difficulty"
pregnancy complications,Gynecologist,High,"health,complications,pregnancy,issue,condition"
thyroid issue,Endocrinologist,Medium,"issue,symptom,problem,thyroid"
depression,Psychiatrist,Medium,"health,symptom,pain,depression"
joint pain,Orthopedic,Medium,"health,issue,pain,joint"
stroke symptoms,Neurologist,Critical,"stroke,symptoms,issue,pain,problem"
diabetes symptoms,Endocrinologist,Medium,"symptom,health,symptoms,diabetes,problem"
depression,Psychiatrist,Medium,"health,symptom,pain,depression"
chest pain,Cardiologist,High,"symptom,condition,health,chest,pain"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,issue,pain"
fracture,Orthopedic,High,"health,symptom,fracture,issue"
fever,General Physician,Low,"health,pain,fever,condition"
skin infection,Dermatologist,Low,"health,skin,issue,problem,infection"
joint pain,Orthopedic,Medium,"issue,symptom,pain,joint"
depression,Psychiatrist,Medium,"issue,problem,pain,depression"
depression,Psychiatrist,Medium,"symptom,pain,depression,problem"
migraine,Neurologist,Medium,"health,issue,problem,migraine"
eye infection,Ophthalmologist,Low,"symptom,eye,issue,pain,infection"
breathing difficulty,Pulmonologist,Critical,"symptom,health,breathing,problem,difficulty"
migraine,Neurologist,Medium,"issue,pain,condition,migraine"
thyroid issue,Endocrinologist,Medium,"symptom,health,thyroid,issue,pain"
depression,Psychiatrist,Medium,"health,problem,condition,depression"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,health,condition"
kidney pain,Nephrologist,High,"kidney,health,pain,condition"
skin infection,Dermatologist,Low,"symptom,skin,condition,problem,infection"
asthma attack,Pulmonologist,High,"condition,attack,asthma,pain,problem"
thyroid issue,Endocrinologist,Medium,"health,thyroid,issue,condition,problem"
kidney pain,Nephrologist,High,"kidney,symptom,issue,pain,problem"
chest pain,Cardiologist,High,"health,chest,issue,pain,problem"
cardiac arrest,Cardiologist,Critical,"condition,cardiac,arrest,issue,pain"
depression,Psychiatrist,Medium,"issue,problem,pain,depression"
ear pain,ENT Specialist,Low,"health,issue,pain,problem,ear"
thyroid issue,Endocrinologist,Medium,"issue,symptom,problem,thyroid"
depression,Psychiatrist,Medium,"health,problem,condition,depression"
fracture,Orthopedic,High,"health,issue,fracture,problem"
skin infection,Dermatologist,Low,"skin,issue,pain,problem,infection"
eye infection,Ophthalmologist,Low,"symptom,eye,pain,problem,infection"
fever,General Physician,Low,"health,pain,problem,fever"
chest pain,Cardiologist,High,"chest,symptom,pain,problem"
thyroid issue,Endocrinologist,Medium,"issue,symptom,problem,thyroid"
stroke symptoms,Neurologist,Critical,"symptom,stroke,symptoms,condition,problem"
thyroid issue,Endocrinologist,Medium,"issue,condition,problem,thyroid"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,issue,problem"
skin infection,Dermatologist,Low,"symptom,health,skin,problem,infection"
skin allergy,Dermatologist,Medium,"condition,skin,allergy,issue,pain"
joint pain,Orthopedic,Medium,"symptom,issue,pain,joint"
depression,Psychiatrist,Medium,"health,issue,pain,depression"
fracture,Orthopedic,High,"symptom,issue,fracture,problem"
pregnancy complications,Gynecologist,High,"health,complications,pregnancy,condition,problem"
ear pain,ENT Specialist,Low,"health,pain,problem,ear"
kidney pain,Nephrologist,High,"kidney,health,pain,condition"
high blood pressure,Cardiologist,Medium,"health,blood,high,pressure,issue,pain"
skin infection,Dermatologist,Low,"symptom,health,skin,problem,infection"
eye infection,Ophthalmologist,Low,"health,eye,issue,pain,infection"
joint pain,Orthopedic,Medium,"symptom,condition,joint,health,pain"
stroke symptoms,Neurologist,Critical,"symptom,stroke,symptoms,issue,problem"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,health,problem"
fever,General Physician,Low,"health,pain,fever,condition"
cardiac arrest,Cardiologist,Critical,"cardiac,arrest,health,issue,condition"
breathing difficulty,Pulmonologist,Critical,"health,breathing,issue,pain,difficulty"
thyroid issue,Endocrinologist,Medium,"pain,thyroid,issue,condition,problem"
breathing difficulty,Pulmonologist,Critical,"symptom,breathing,condition,problem,difficulty"
ear pain,ENT Specialist,Low,"symptom,condition,pain,problem,ear"
high blood pressure,Cardiologist,Medium,"symptom,health,blood,high,pressure,pain"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,health,issue"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,health,problem"
fracture,Orthopedic,High,"symptom,fracture,problem,pain"
migraine,Neurologist,Medium,"symptom,issue,pain,migraine"
fever,General Physician,Low,"condition,problem,fever,pain"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,issue,problem"
kidney pain,Nephrologist,High,"kidney,health,issue,pain,problem"
