 symptom_or_condition,mapped_specialist,emergency_level,keywords
migraine,Neurologist,Medium,"health,issue,pain,migraine"
breathing difficulty,Pulmonologist,Critical,"condition,health,breathing,pain,difficulty"
skin infection,Dermatologist,Low,"health,skin,condition,problem,infection"
thyroid issue,Endocrinologist,Medium,"symptom,thyroid,issue,condition,problem"
high blood pressure,Cardiologist,Medium,"blood,high,pressure,issue,condition,problem"
skin allergy,Dermatologist,Medium,"health,skin,allergy,issue,problem"
high blood pressure,Cardiologist,Medium,"health,blood,high,pressure,pain,problem"
thyroid issue,Endocrinologist,Medium,"health,thyroid,issue,condition,problem"
fever,General Physician,Low,"issue,condition,problem,fever"
ear pain,ENT Specialist,Low,"pain,problem,ear,condition"
breathing difficulty,Pulmonologist,Critical,"condition,breathing,issue,pain,difficulty"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,issue,condition"
high blood pressure,Cardiologist,Medium,"pain,blood,high,pressure,condition,problem"
skin infection,Dermatologist,Low,"skin,issue,pain,problem,infection"
stroke symptoms,Neurologist,Critical,"symptom,stroke,symptoms,condition,problem"
asthma attack,Pulmonologist,High,"symptom,attack,health,asthma,pain"
high blood pressure,Cardiologist,Medium,"health,blood,high,pressure,pain,problem"
stroke symptoms,Neurologist,Critical,"health,stroke,symptoms,issue,condition"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,pain,problem"
migraine,Neurologist,Medium,"health,issue,symptom,migraine"
diabetes symptoms,Endocrinologist,Medium,"symptom,health,symptoms,diabetes,problem"
fever,General Physician,Low,"health,issue,condition,fever"
eye infection,Ophthalmologist,Low,"eye,issue,condition,problem,infection"
ear pain,ENT Specialist,Low,"health,pain,problem,ear"
eye infection,Ophthalmologist,Low,"symptom,eye,condition,problem,infection"
stroke symptoms,Neurologist,Critical,"symptom,stroke,symptoms,issue,pain"
joint pain,Orthopedic,Medium,"health,problem,pain,joint"
asthma attack,Pulmonologist,High,"condition,attack,health,asthma,pain"
kidney pain,Nephrologist,High,"kidney,symptom,condition,pain,problem"
joint pain,Orthopedic,Medium,"symptom,pain,joint,condition"
stroke symptoms,Neurologist,Critical,"symptom,stroke,symptoms,issue,condition"
migraine,Neurologist,Medium,"health,condition,problem,migraine"
breathing difficulty,Pulmonologist,Critical,"symptom,breathing,issue,condition,difficulty"
fever,General Physician,Low,"health,issue,symptom,fever"
joint pain,Orthopedic,Medium,"condition,joint,health,pain,problem"
skin allergy,Dermatologist,Medium,"symptom,skin,allergy,issue,problem"
fracture,Orthopedic,High,"issue,fracture,pain,condition"
chest pain,Cardiologist,High,"chest,issue,symptom,pain"
thyroid issue,Endocrinologist,Medium,"health,thyroid,issue,condition,problem"
migraine,Neurologist,Medium,"health,issue,condition,migraine"
stroke symptoms,Neurologist,Critical,"symptom,stroke,symptoms,issue,problem"
skin allergy,Dermatologist,Medium,"symptom,skin,allergy,issue,problem"
pregnancy complications,Gynecologist,High,"health,complications,pregnancy,issue,problem"
breathing difficulty,Pulmonologist,Critical,"symptom,breathing,condition,problem,difficulty"
stroke symptoms,Neurologist,Critical,"health,stroke,symptoms,issue,pain"
skin infection,Dermatologist,Low,"health,skin,issue,pain,infection"
depression,Psychiatrist,Medium,"health,problem,condition,depression"
asthma attack,Pulmonologist,High,"symptom,attack,health,asthma,pain"
depression,Psychiatrist,Medium,"problem,pain,depression,condition"
eye infection,Ophthalmologist,Low,"symptom,health,eye,issue,infection"
high blood pressure,Cardiologist,Medium,"health,blood,high,pressure,issue,problem"
tooth pain,Dentist,Low,"symptom,condition,health,tooth,pain"
asthma attack,Pulmonologist,High,"symptom,attack,health,asthma,issue"
eye infection,Ophthalmologist,Low,"pain,eye,condition,problem,infection"
high blood pressure,Cardiologist,Medium,"symptom,condition,blood,high,pressure,pain"
thyroid issue,Endocrinologist,Medium,"health,issue,symptom,thyroid"
high blood pressure,Cardiologist,Medium,"symptom,health,blood,high,pressure,issue"
depression,Psychiatrist,Medium,"health,problem,condition,depression"
fever,General Physician,Low,"issue,condition,fever,pain"
high blood pressure,Cardiologist,Medium,"condition,blood,high,pressure,pain,problem"
fracture,Orthopedic,High,"issue,symptom,fracture,pain"
pregnancy complications,Gynecologist,High,"symptom,health,complications,pregnancy,problem"
fracture,Orthopedic,High,"issue,symptom,fracture,condition"
high blood pressure,Cardiologist,Medium,"health,blood,high,pressure,pain,problem"
eye infection,Ophthalmologist,Low,"symptom,eye,condition,problem,infection"
stroke symptoms,Neurologist,Critical,"health,stroke,symptoms,condition,problem"
pregnancy complications,Gynecologist,High,"health,complications,pregnancy,pain,problem"
eye infection,Ophthalmologist,Low,"symptom,health,eye,problem,infection"
stroke symptoms,Neurologist,Critical,"stroke,symptoms,issue,condition,problem"
pregnancy complications,Gynecologist,High,"complications,pregnancy,issue,pain,problem"
stroke symptoms,Neurologist,Critical,"symptom,condition,stroke,symptoms,pain"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,issue,problem"
pregnancy complications,Gynecologist,High,"health,complications,pregnancy,issue,condition"
depression,Psychiatrist,Medium,"symptom,pain,depression,problem"
tooth pain,Dentist,Low,"issue,pain,problem,tooth"
skin allergy,Dermatologist,Medium,"skin,allergy,issue,condition,problem"
kidney pain,Nephrologist,High,"kidney,health,pain,problem"
fever,General Physician,Low,"symptom,pain,problem,fever"
pregnancy complications,Gynecologist,High,"health,complications,pregnancy,issue,pain"
depression,Psychiatrist,Medium,"symptom,condition,depression,problem"
joint pain,Orthopedic,Medium,"problem,pain,joint,condition"
tooth pain,Dentist,Low,"symptom,pain,problem,tooth"
joint pain,Orthopedic,Medium,"health,symptom,pain,joint"
pregnancy complications,Gynecologist,High,"complications,pregnancy,issue,pain,problem"
thyroid issue,Endocrinologist,Medium,"health,issue,symptom,thyroid"
depression,Psychiatrist,Medium,"health,problem,condition,depression"
tooth pain,Dentist,Low,"condition,tooth,issue,pain,problem"
high blood pressure,Cardiologist,Medium,"symptom,pain,blood,high,pressure,condition"
cardiac arrest,Cardiologist,Critical,"cardiac,arrest,issue,pain,problem"
depression,Psychiatrist,Medium,"symptom,problem,pain,depression"
breathing difficulty,Pulmonologist,Critical,"symptom,breathing,issue,problem,difficulty"
asthma attack,Pulmonologist,High,"attack,asthma,issue,condition,problem"
skin infection,Dermatologist,Low,"skin,issue,condition,problem,infection"
migraine,Neurologist,Medium,"symptom,condition,problem,migraine"
chest pain,Cardiologist,High,"condition,chest,issue,pain,problem"
asthma attack,Pulmonologist,High,"attack,asthma,issue,pain,problem"
depression,Psychiatrist,Medium,"issue,symptom,depression,condition"
fracture,Orthopedic,High,"health,pain,fracture,condition"
eye infection,Ophthalmologist,Low,"health,eye,issue,pain,infection"
diabetes symptoms,Endocrinologist,Medium,"health,symptoms,diabetes,issue,condition"
chest pain,Cardiologist,High,"symptom,health,chest,issue,pain"
skin allergy,Dermatologist,Medium,"health,skin,allergy,pain,problem"
stroke symptoms,Neurologist,Critical,"symptom,stroke,symptoms,issue,condition"
stroke symptoms,Neurologist,Critical,"stroke,symptoms,issue,pain,problem"
thyroid issue,Endocrinologist,Medium,"health,issue,pain,thyroid"
depression,Psychiatrist,Medium,"health,problem,condition,depression"
high blood pressure,Cardiologist,Medium,"symptom,blood,high,pressure,issue,problem"
breathing difficulty,Pulmonologist,Critical,"health,breathing,issue,condition,difficulty"
high blood pressure,Cardiologist,Medium,"symptom,health,blood,high,pressure,condition"
depression,Psychiatrist,Medium,"issue,problem,condition,depression"
stroke symptoms,Neurologist,Critical,"symptom,stroke,symptoms,condition,problem"
stroke symptoms,Neurologist,Critical,"symptom,stroke,symptoms,issue,condition"
ear pain,ENT Specialist,Low,"health,issue,pain,problem,ear"
diabetes symptoms,Endocrinologist,Medium,"symptom,health,symptoms,diabetes,problem"
depression,Psychiatrist,Medium,"health,problem,pain,depression"
eye infection,Ophthalmologist,Low,"eye,issue,pain,problem,infection"
fracture,Orthopedic,High,"issue,fracture,problem,pain"
thyroid issue,Endocrinologist,Medium,"health,issue,pain,thyroid"
fracture,Orthopedic,High,"health,fracture,condition,pain"
thyroid issue,Endocrinologist,Medium,"symptom,thyroid,issue,pain,problem"
eye infection,Ophthalmologist,Low,"symptom,eye,issue,problem,infection"
ear pain,ENT Specialist,Low,"issue,pain,ear,condition"
depression,Psychiatrist,Medium,"health,pain,depression,condition"
joint pain,Orthopedic,Medium,"issue,problem,pain,joint"
ear pain,ENT Specialist,Low,"symptom,condition,health,pain,ear"
ear pain,ENT Specialist,Low,"health,pain,ear,condition"
stroke symptoms,Neurologist,Critical,"health,stroke,symptoms,issue,pain"
thyroid issue,Endocrinologist,Medium,"health,issue,symptom,thyroid"
high blood pressure,Cardiologist,Medium,"symptom,blood,high,pressure,pain,problem"
fracture,Orthopedic,High,"symptom,pain,fracture,condition"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,pain,problem"
tooth pain,Dentist,Low,"health,pain,tooth,condition"
joint pain,Orthopedic,Medium,"health,issue,pain,joint"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,condition,problem"
fracture,Orthopedic,High,"health,issue,fracture,problem"
depression,Psychiatrist,Medium,"problem,pain,depression,condition"
high blood pressure,Cardiologist,Medium,"condition,health,blood,high,pressure,pain"
thyroid issue,Endocrinologist,Medium,"health,issue,condition,thyroid"
asthma attack,Pulmonologist,High,"symptom,attack,asthma,pain,problem"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,health,issue"
skin infection,Dermatologist,Low,"symptom,health,skin,condition,infection"
stroke symptoms,Neurologist,Critical,"symptom,health,stroke,symptoms,issue"
joint pain,Orthopedic,Medium,"problem,pain,joint,condition"
skin allergy,Dermatologist,Medium,"symptom,skin,allergy,condition,problem"
thyroid issue,Endocrinologist,Medium,"issue,symptom,problem,thyroid"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,pain,problem"
skin infection,Dermatologist,Low,"pain,health,skin,condition,infection"
high blood pressure,Cardiologist,Medium,"symptom,health,blood,high,pressure,pain"
tooth pain,Dentist,Low,"health,symptom,pain,tooth"
fever,General Physician,Low,"symptom,pain,fever,condition"
high blood pressure,Cardiologist,Medium,"health,blood,high,pressure,issue,condition"
breathing difficulty,Pulmonologist,Critical,"health,breathing,condition,problem,difficulty"
breathing difficulty,Pulmonologist,Critical,"symptom,health,breathing,issue,difficulty"
eye infection,Ophthalmologist,Low,"symptom,health,eye,condition,infection"
ear pain,ENT Specialist,Low,"issue,pain,problem,ear"
migraine,Neurologist,Medium,"health,issue,symptom,migraine"
eye infection,Ophthalmologist,Low,"health,eye,issue,problem,infection"
joint pain,Orthopedic,Medium,"symptom,joint,issue,pain,problem"
skin infection,Dermatologist,Low,"health,skin,issue,condition,infection"
pregnancy complications,Gynecologist,High,"symptom,health,complications,pregnancy,issue"
chest pain,Cardiologist,High,"chest,pain,problem,condition"
stroke symptoms,Neurologist,Critical,"health,stroke,symptoms,issue,condition"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,issue,problem"
eye infection,Ophthalmologist,Low,"symptom,condition,eye,pain,infection"
pregnancy complications,Gynecologist,High,"health,complications,pregnancy,condition,problem"
breathing difficulty,Pulmonologist,Critical,"condition,breathing,issue,pain,difficulty"
pregnancy complications,Gynecologist,High,"health,complications,pregnancy,pain,problem"
fracture,Orthopedic,High,"health,pain,fracture,condition"
skin allergy,Dermatologist,Medium,"health,skin,allergy,issue,pain"
cardiac arrest,Cardiologist,Critical,"cardiac,arrest,health,condition,problem"
kidney pain,Nephrologist,High,"kidney,issue,pain,problem"
tooth pain,Dentist,Low,"health,pain,problem,tooth"
fever,General Physician,Low,"symptom,condition,fever,pain"
eye infection,Ophthalmologist,Low,"health,eye,condition,problem,infection"
pregnancy complications,Gynecologist,High,"health,complications,pregnancy,issue,condition"
breathing difficulty,Pulmonologist,Critical,"symptom,health,breathing,problem,difficulty"
joint pain,Orthopedic,Medium,"issue,pain,joint,problem"
fracture,Orthopedic,High,"symptom,fracture,problem,pain"
eye infection,Ophthalmologist,Low,"condition,eye,pain,problem,infection"
fever,General Physician,Low,"symptom,issue,fever,condition"
skin allergy,Dermatologist,Medium,"health,skin,allergy,issue,condition"
kidney pain,Nephrologist,High,"kidney,symptom,condition,health,pain"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,pain,problem"
skin allergy,Dermatologist,Medium,"health,skin,allergy,issue,pain"
breathing difficulty,Pulmonologist,Critical,"health,breathing,pain,problem,difficulty"
eye infection,Ophthalmologist,Low,"health,eye,issue,condition,infection"
eye infection,Ophthalmologist,Low,"condition,eye,pain,problem,infection"
diabetes symptoms,Endocrinologist,Medium,"health,symptoms,diabetes,condition,problem"
joint pain,Orthopedic,Medium,"condition,joint,health,issue,pain"
skin infection,Dermatologist,Low,"health,skin,condition,problem,infection"
stroke symptoms,Neurologist,Critical,"symptom,health,stroke,symptoms,problem"
cardiac arrest,Cardiologist,Critical,"cardiac,arrest,health,issue,condition"
stroke symptoms,Neurologist,Critical,"stroke,symptoms,issue,condition,problem"
high blood pressure,Cardiologist,Medium,"health,blood,high,pressure,issue,condition"
high blood pressure,Cardiologist,Medium,"health,blood,high,pressure,pain,problem"
asthma attack,Pulmonologist,High,"symptom,attack,health,asthma,pain"
breathing difficulty,Pulmonologist,Critical,"condition,breathing,pain,problem,difficulty"
joint pain,Orthopedic,Medium,"symptom,joint,health,issue,pain"
joint pain,Orthopedic,Medium,"symptom,condition,joint,issue,pain"
stroke symptoms,Neurologist,Critical,"health,stroke,symptoms,issue,problem"
high blood pressure,Cardiologist,Medium,"symptom,blood,high,pressure,issue,pain"
ear pain,ENT Specialist,Low,"symptom,condition,health,pain,ear"
eye infection,Ophthalmologist,Low,"symptom,eye,issue,problem,infection"
pregnancy complications,Gynecologist,High,"symptom,health,complications,pregnancy,condition"
chest pain,Cardiologist,High,"chest,issue,pain,condition"
cardiac arrest,Cardiologist,Critical,"symptom,condition,cardiac,arrest,pain"
migraine,Neurologist,Medium,"health,issue,pain,migraine"
high blood pressure,Cardiologist,Medium,"blood,high,pressure,issue,condition,problem"
chest pain,Cardiologist,High,"symptom,condition,health,chest,pain"
migraine,Neurologist,Medium,"health,symptom,condition,migraine"
high blood pressure,Cardiologist,Medium,"symptom,health,blood,high,pressure,issue"
asthma attack,Pulmonologist,High,"symptom,attack,health,asthma,issue"
ear pain,ENT Specialist,Low,"health,issue,pain,ear"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,issue,problem"
pregnancy complications,Gynecologist,High,"symptom,health,complications,pregnancy,pain"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,issue,condition"
skin infection,Dermatologist,Low,"health,skin,issue,problem,infection"
migraine,Neurologist,Medium,"health,pain,condition,migraine"
cardiac arrest,Cardiologist,Critical,"cardiac,arrest,health,issue,condition"
high blood pressure,Cardiologist,Medium,"health,blood,high,pressure,pain,problem"
joint pain,Orthopedic,Medium,"symptom,pain,joint,condition"
fever,General Physician,Low,"health,symptom,pain,fever"
high blood pressure,Cardiologist,Medium,"symptom,pain,blood,high,pressure,condition"
ear pain,ENT Specialist,Low,"health,issue,pain,problem,ear"
eye infection,Ophthalmologist,Low,"symptom,condition,eye,pain,infection"
chest pain,Cardiologist,High,"chest,health,pain,problem"
skin infection,Dermatologist,Low,"pain,skin,condition,problem,infection"
stroke symptoms,Neurologist,Critical,"symptom,health,stroke,symptoms,problem"
breathing difficulty,Pulmonologist,Critical,"symptom,health,breathing,condition,difficulty"
high blood pressure,Cardiologist,Medium,"symptom,health,blood,high,pressure,condition"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,issue,pain"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,issue,problem"
depression,Psychiatrist,Medium,"problem,symptom,depression,condition"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,pain,arrest,condition"
skin infection,Dermatologist,Low,"symptom,health,skin,problem,infection"
fracture,Orthopedic,High,"health,issue,fracture,condition"
tooth pain,Dentist,Low,"symptom,condition,tooth,pain,problem"
migraine,Neurologist,Medium,"issue,symptom,condition,migraine"
fracture,Orthopedic,High,"health,symptom,fracture,problem"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,condition,problem"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,pain,problem"
migraine,Neurologist,Medium,"symptom,condition,pain,migraine"
skin allergy,Dermatologist,Medium,"symptom,health,skin,allergy,condition"
asthma attack,Pulmonologist,High,"attack,asthma,issue,pain,problem"
diabetes symptoms,Endocrinologist,Medium,"symptom,health,symptoms,diabetes,problem"
chest pain,Cardiologist,High,"chest,symptom,pain,condition"
stroke symptoms,Neurologist,Critical,"symptom,stroke,symptoms,issue,problem"
fracture,Orthopedic,High,"health,symptom,fracture,pain"
pregnancy complications,Gynecologist,High,"symptom,health,complications,pregnancy,condition"
diabetes symptoms,Endocrinologist,Medium,"symptoms,diabetes,issue,pain,problem"
tooth pain,Dentist,Low,"health,symptom,pain,tooth"
joint pain,Orthopedic,Medium,"health,problem,pain,joint"
diabetes symptoms,Endocrinologist,Medium,"health,symptoms,diabetes,issue,problem"
ear pain,ENT Specialist,Low,"symptom,condition,issue,pain,ear"
chest pain,Cardiologist,High,"symptom,chest,issue,pain,problem"
kidney pain,Nephrologist,High,"kidney,symptom,health,pain,problem"
cardiac arrest,Cardiologist,Critical,"cardiac,arrest,health,condition,problem"
breathing difficulty,Pulmonologist,Critical,"symptom,breathing,issue,problem,difficulty"
pregnancy complications,Gynecologist,High,"symptom,health,complications,pregnancy,issue"
migraine,Neurologist,Medium,"issue,condition,problem,migraine"
asthma attack,Pulmonologist,High,"symptom,attack,health,asthma,condition"
high blood pressure,Cardiologist,Medium,"health,blood,high,pressure,issue,pain"
kidney pain,Nephrologist,High,"symptom,kidney,health,pain"
ear pain,ENT Specialist,Low,"symptom,health,pain,problem,ear"
skin allergy,Dermatologist,Medium,"symptom,health,skin,allergy,condition"
depression,Psychiatrist,Medium,"health,symptom,pain,depression"
chest pain,Cardiologist,High,"chest,health,issue,pain"
thyroid issue,Endocrinologist,Medium,"issue,symptom,thyroid,pain"
skin allergy,Dermatologist,Medium,"symptom,skin,allergy,condition,problem"
ear pain,ENT Specialist,Low,"symptom,condition,health,pain,ear"
skin allergy,Dermatologist,Medium,"symptom,health,skin,allergy,condition"
breathing difficulty,Pulmonologist,Critical,"symptom,breathing,issue,problem,difficulty"
joint pain,Orthopedic,Medium,"symptom,condition,joint,pain,problem"
chest pain,Cardiologist,High,"condition,chest,issue,pain,problem"
tooth pain,Dentist,Low,"symptom,condition,tooth,issue,pain"
ear pain,ENT Specialist,Low,"health,issue,pain,problem,ear"
diabetes symptoms,Endocrinologist,Medium,"symptom,symptoms,diabetes,issue,pain"
pregnancy complications,Gynecologist,High,"health,complications,pregnancy,condition,problem"
chest pain,Cardiologist,High,"symptom,condition,chest,issue,pain"
diabetes symptoms,Endocrinologist,Medium,"symptom,health,symptoms,diabetes,condition"
fever,General Physician,Low,"health,symptom,issue,fever"
fever,General Physician,Low,"health,issue,symptom,fever"
ear pain,ENT Specialist,Low,"issue,pain,problem,ear"
skin infection,Dermatologist,Low,"health,skin,condition,problem,infection"
joint pain,Orthopedic,Medium,"condition,joint,health,issue,pain"
fracture,Orthopedic,High,"health,pain,fracture,condition"
diabetes symptoms,Endocrinologist,Medium,"health,symptoms,diabetes,condition,problem"
asthma attack,Pulmonologist,High,"symptom,attack,asthma,issue,pain"
stroke symptoms,Neurologist,Critical,"symptom,stroke,symptoms,pain,problem"
migraine,Neurologist,Medium,"issue,symptom,problem,migraine"
depression,Psychiatrist,Medium,"issue,condition,depression,problem"
asthma attack,Pulmonologist,High,"symptom,attack,asthma,issue,pain"
eye infection,Ophthalmologist,Low,"pain,health,eye,condition,infection"
ear pain,ENT Specialist,Low,"condition,issue,pain,problem,ear"
skin allergy,Dermatologist,Medium,"symptom,health,skin,allergy,problem"
joint pain,Orthopedic,Medium,"symptom,joint,issue,pain,problem"
asthma attack,Pulmonologist,High,"attack,health,asthma,issue,problem"
breathing difficulty,Pulmonologist,Critical,"symptom,health,breathing,condition,difficulty"
eye infection,Ophthalmologist,Low,"health,eye,issue,problem,infection"
skin infection,Dermatologist,Low,"symptom,skin,condition,problem,infection"
skin infection,Dermatologist,Low,"condition,skin,pain,problem,infection"
kidney pain,Nephrologist,High,"kidney,issue,pain,problem"
fracture,Orthopedic,High,"health,symptom,fracture,problem"
thyroid issue,Endocrinologist,Medium,"pain,health,thyroid,issue,condition"
eye infection,Ophthalmologist,Low,"symptom,eye,issue,problem,infection"
kidney pain,Nephrologist,High,"kidney,symptom,issue,pain,problem"
joint pain,Orthopedic,Medium,"problem,pain,joint,condition"
joint pain,Orthopedic,Medium,"symptom,joint,health,pain,problem"
diabetes symptoms,Endocrinologist,Medium,"symptoms,diabetes,issue,pain,problem"
asthma attack,Pulmonologist,High,"attack,health,asthma,issue,pain"
depression,Psychiatrist,Medium,"issue,pain,depression,problem"
pregnancy complications,Gynecologist,High,"condition,complications,pregnancy,pain,problem"
fever,General Physician,Low,"issue,pain,problem,fever"
fracture,Orthopedic,High,"health,symptom,fracture,condition"
ear pain,ENT Specialist,Low,"symptom,issue,pain,problem,ear"
thyroid issue,Endocrinologist,Medium,"health,thyroid,issue,condition,problem"
cardiac arrest,Cardiologist,Critical,"cardiac,arrest,health,issue,condition"
fracture,Orthopedic,High,"symptom,fracture,problem,pain"
fracture,Orthopedic,High,"issue,fracture,condition,pain"
pregnancy complications,Gynecologist,High,"symptom,health,complications,pregnancy,issue"
chest pain,Cardiologist,High,"chest,pain,problem,condition"
asthma attack,Pulmonologist,High,"attack,asthma,issue,condition,problem"
pregnancy complications,Gynecologist,High,"pain,complications,pregnancy,condition,problem"
kidney pain,Nephrologist,High,"kidney,condition,health,issue,pain"
skin allergy,Dermatologist,Medium,"symptom,skin,allergy,pain,problem"
chest pain,Cardiologist,High,"condition,health,chest,pain,problem"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,condition,problem"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,condition,problem"
tooth pain,Dentist,Low,"health,issue,pain,tooth"
