 symptom_or_condition,mapped_specialist,emergency_level,keywords
skin infection,Dermatologist,Low,"health,skin,issue,pain,infection"
pregnancy complications,Gynecologist,High,"pain,complications,pregnancy,issue,condition"
stroke symptoms,Neurologist,Critical,"stroke,symptoms,issue,condition,problem"
diabetes symptoms,Endocrinologist,Medium,"health,symptoms,diabetes,issue,condition"
ear pain,ENT Specialist,Low,"symptom,health,issue,pain,ear"
depression,Psychiatrist,Medium,"health,issue,condition,depression"
fever,General Physician,Low,"health,symptom,condition,fever"
migraine,Neurologist,Medium,"health,symptom,issue,migraine"
kidney pain,Nephrologist,High,"kidney,condition,health,issue,pain"
eye infection,Ophthalmologist,Low,"condition,health,eye,pain,infection"
asthma attack,Pulmonologist,High,"symptom,attack,asthma,condition,problem"
fracture,Orthopedic,High,"issue,symptom,fracture,problem"
migraine,Neurologist,Medium,"symptom,condition,pain,migraine"
eye infection,Ophthalmologist,Low,"health,eye,issue,problem,infection"
fever,General Physician,Low,"health,symptom,problem,fever"
fracture,Orthopedic,High,"issue,fracture,problem,pain"
thyroid issue,Endocrinologist,Medium,"issue,condition,problem,thyroid"
tooth pain,Dentist,Low,"symptom,condition,tooth,pain,problem"
pregnancy complications,Gynecologist,High,"pain,health,complications,pregnancy,condition"
joint pain,Orthopedic,Medium,"symptom,joint,issue,pain,problem"
skin infection,Dermatologist,Low,"symptom,condition,skin,pain,infection"
high blood pressure,Cardiologist,Medium,"blood,high,pressure,issue,pain,problem"
fever,General Physician,Low,"health,symptom,problem,fever"
stroke symptoms,Neurologist,Critical,"health,stroke,symptoms,pain,problem"
asthma attack,Pulmonologist,High,"attack,health,asthma,condition,problem"
breathing difficulty,Pulmonologist,Critical,"health,breathing,pain,problem,difficulty"
asthma attack,Pulmonologist,High,"attack,asthma,issue,condition,problem"
fracture,Orthopedic,High,"health,fracture,problem,condition"
breathing difficulty,Pulmonologist,Critical,"symptom,breathing,issue,problem,difficulty"
joint pain,Orthopedic,Medium,"joint,health,issue,pain,problem"
kidney pain,Nephrologist,High,"kidney,symptom,pain,condition"
stroke symptoms,Neurologist,Critical,"symptom,stroke,symptoms,issue,problem"
skin infection,Dermatologist,Low,"symptom,health,skin,pain,infection"
migraine,Neurologist,Medium,"health,issue,condition,migraine"
fracture,Orthopedic,High,"health,fracture,problem,condition"
high blood pressure,Cardiologist,Medium,"health,blood,high,pressure,issue,pain"
breathing difficulty,Pulmonologist,Critical,"symptom,health,breathing,issue,difficulty"
kidney pain,Nephrologist,High,"kidney,health,issue,pain,problem"
skin infection,Dermatologist,Low,"health,skin,condition,problem,infection"
pregnancy complications,Gynecologist,High,"health,complications,pregnancy,pain,problem"
thyroid issue,Endocrinologist,Medium,"health,issue,problem,thyroid"
tooth pain,Dentist,Low,"symptom,condition,tooth,issue,pain"
diabetes symptoms,Endocrinologist,Medium,"pain,symptoms,diabetes,issue,condition"
diabetes symptoms,Endocrinologist,Medium,"pain,symptoms,diabetes,condition,problem"
fracture,Orthopedic,High,"issue,fracture,problem,pain"
skin allergy,Dermatologist,Medium,"symptom,skin,allergy,issue,pain"
breathing difficulty,Pulmonologist,Critical,"symptom,breathing,issue,condition,difficulty"
migraine,Neurologist,Medium,"health,pain,problem,migraine"
tooth pain,Dentist,Low,"health,pain,problem,tooth"
diabetes symptoms,Endocrinologist,Medium,"health,symptoms,diabetes,pain,problem"
skin allergy,Dermatologist,Medium,"skin,allergy,issue,pain,problem"
fracture,Orthopedic,High,"health,symptom,fracture,condition"
migraine,Neurologist,Medium,"issue,pain,condition,migraine"
high blood pressure,Cardiologist,Medium,"symptom,condition,blood,high,pressure,pain"
eye infection,Ophthalmologist,Low,"pain,eye,condition,problem,infection"
skin allergy,Dermatologist,Medium,"skin,allergy,issue,condition,problem"
high blood pressure,Cardiologist,Medium,"symptom,health,blood,high,pressure,condition"
chest pain,Cardiologist,High,"symptom,health,chest,pain,problem"
skin infection,Dermatologist,Low,"health,skin,issue,problem,infection"
diabetes symptoms,Endocrinologist,Medium,"symptoms,diabetes,issue,condition,problem"
diabetes symptoms,Endocrinologist,Medium,"symptom,health,symptoms,diabetes,condition"
chest pain,Cardiologist,High,"symptom,condition,chest,pain,problem"
skin allergy,Dermatologist,Medium,"health,skin,allergy,condition,problem"
breathing difficulty,Pulmonologist,Critical,"symptom,health,breathing,issue,difficulty"
eye infection,Ophthalmologist,Low,"symptom,eye,condition,problem,infection"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,pain,problem"
asthma attack,Pulmonologist,High,"attack,health,asthma,issue,pain"
migraine,Neurologist,Medium,"health,symptom,problem,migraine"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,health,pain"
fracture,Orthopedic,High,"symptom,fracture,problem,condition"
eye infection,Ophthalmologist,Low,"symptom,health,eye,issue,infection"
skin infection,Dermatologist,Low,"symptom,health,skin,issue,infection"
fever,General Physician,Low,"health,issue,condition,fever"
diabetes symptoms,Endocrinologist,Medium,"health,symptoms,diabetes,issue,problem"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,condition,problem"
fracture,Orthopedic,High,"symptom,fracture,problem,pain"
stroke symptoms,Neurologist,Critical,"stroke,symptoms,issue,pain,problem"
kidney pain,Nephrologist,High,"kidney,symptom,condition,issue,pain"
depression,Psychiatrist,Medium,"symptom,pain,depression,problem"
ear pain,ENT Specialist,Low,"issue,pain,problem,ear"
skin infection,Dermatologist,Low,"symptom,health,skin,pain,infection"
tooth pain,Dentist,Low,"condition,tooth,issue,pain,problem"
joint pain,Orthopedic,Medium,"symptom,condition,joint,health,pain"
breathing difficulty,Pulmonologist,Critical,"symptom,health,breathing,problem,difficulty"
depression,Psychiatrist,Medium,"symptom,pain,depression,problem"
breathing difficulty,Pulmonologist,Critical,"symptom,health,breathing,condition,difficulty"
asthma attack,Pulmonologist,High,"symptom,attack,asthma,issue,problem"
cardiac arrest,Cardiologist,Critical,"cardiac,arrest,health,pain,problem"
high blood pressure,Cardiologist,Medium,"symptom,health,blood,high,pressure,pain"
chest pain,Cardiologist,High,"chest,issue,symptom,pain"
eye infection,Ophthalmologist,Low,"condition,eye,pain,problem,infection"
diabetes symptoms,Endocrinologist,Medium,"symptom,health,symptoms,diabetes,pain"
high blood pressure,Cardiologist,Medium,"condition,blood,high,pressure,pain,problem"
tooth pain,Dentist,Low,"symptom,pain,problem,tooth"
diabetes symptoms,Endocrinologist,Medium,"health,symptoms,diabetes,issue,problem"
tooth pain,Dentist,Low,"symptom,tooth,issue,pain,problem"
asthma attack,Pulmonologist,High,"symptom,attack,asthma,issue,condition"
kidney pain,Nephrologist,High,"kidney,symptom,health,pain,problem"
fever,General Physician,Low,"health,issue,problem,fever"
tooth pain,Dentist,Low,"symptom,condition,health,tooth,pain"
cardiac arrest,Cardiologist,Critical,"condition,cardiac,arrest,issue,pain"
joint pain,Orthopedic,Medium,"symptom,joint,health,pain,problem"
high blood pressure,Cardiologist,Medium,"health,blood,high,pressure,issue,problem"
stroke symptoms,Neurologist,Critical,"health,stroke,symptoms,issue,problem"
depression,Psychiatrist,Medium,"issue,condition,depression,problem"
thyroid issue,Endocrinologist,Medium,"symptom,condition,thyroid,issue,pain"
joint pain,Orthopedic,Medium,"symptom,joint,issue,pain,problem"
skin infection,Dermatologist,Low,"symptom,skin,condition,problem,infection"
high blood pressure,Cardiologist,Medium,"pain,health,blood,high,pressure,condition"
skin infection,Dermatologist,Low,"symptom,skin,issue,condition,infection"
skin infection,Dermatologist,Low,"symptom,health,skin,problem,infection"
asthma attack,Pulmonologist,High,"symptom,attack,health,asthma,issue"
joint pain,Orthopedic,Medium,"symptom,joint,health,pain,problem"
eye infection,Ophthalmologist,Low,"symptom,health,eye,pain,infection"
asthma attack,Pulmonologist,High,"condition,attack,asthma,issue,pain"
skin allergy,Dermatologist,Medium,"health,skin,allergy,pain,problem"
migraine,Neurologist,Medium,"symptom,issue,problem,migraine"
kidney pain,Nephrologist,High,"kidney,symptom,pain,health"
joint pain,Orthopedic,Medium,"symptom,condition,joint,pain,problem"
pregnancy complications,Gynecologist,High,"health,complications,pregnancy,condition,problem"
skin allergy,Dermatologist,Medium,"condition,health,skin,allergy,pain"
fracture,Orthopedic,High,"health,symptom,fracture,issue"
ear pain,ENT Specialist,Low,"pain,problem,ear,condition"
high blood pressure,Cardiologist,Medium,"symptom,health,blood,high,pressure,problem"
skin allergy,Dermatologist,Medium,"health,skin,allergy,condition,problem"
skin allergy,Dermatologist,Medium,"symptom,skin,allergy,issue,condition"
migraine,Neurologist,Medium,"symptom,condition,problem,migraine"
chest pain,Cardiologist,High,"chest,pain,problem,condition"
tooth pain,Dentist,Low,"symptom,condition,tooth,pain,problem"
fracture,Orthopedic,High,"health,symptom,fracture,pain"
thyroid issue,Endocrinologist,Medium,"pain,health,thyroid,issue,condition"
fracture,Orthopedic,High,"health,fracture,problem,condition"
tooth pain,Dentist,Low,"health,pain,tooth,condition"
kidney pain,Nephrologist,High,"kidney,condition,health,issue,pain"
asthma attack,Pulmonologist,High,"attack,health,asthma,issue,problem"
skin allergy,Dermatologist,Medium,"symptom,skin,allergy,pain,problem"
chest pain,Cardiologist,High,"symptom,condition,health,chest,pain"
skin infection,Dermatologist,Low,"symptom,health,skin,pain,infection"
depression,Psychiatrist,Medium,"issue,condition,depression,problem"
pregnancy complications,Gynecologist,High,"complications,pregnancy,issue,condition,problem"
thyroid issue,Endocrinologist,Medium,"issue,pain,problem,thyroid"
asthma attack,Pulmonologist,High,"symptom,attack,health,asthma,issue"
joint pain,Orthopedic,Medium,"symptom,joint,health,pain,problem"
stroke symptoms,Neurologist,Critical,"symptom,condition,stroke,symptoms,pain"
high blood pressure,Cardiologist,Medium,"health,blood,high,pressure,issue,pain"
skin allergy,Dermatologist,Medium,"symptom,skin,allergy,pain,problem"
eye infection,Ophthalmologist,Low,"pain,eye,condition,problem,infection"
thyroid issue,Endocrinologist,Medium,"health,issue,condition,thyroid"
stroke symptoms,Neurologist,Critical,"pain,stroke,symptoms,issue,condition"
pregnancy complications,Gynecologist,High,"symptom,health,complications,pregnancy,pain"
depression,Psychiatrist,Medium,"issue,pain,depression,problem"
migraine,Neurologist,Medium,"health,symptom,problem,migraine"
skin allergy,Dermatologist,Medium,"symptom,skin,allergy,condition,problem"
pregnancy complications,Gynecologist,High,"symptom,health,complications,pregnancy,issue"
eye infection,Ophthalmologist,Low,"symptom,eye,issue,condition,infection"
fever,General Physician,Low,"symptom,issue,fever,condition"
high blood pressure,Cardiologist,Medium,"symptom,blood,high,pressure,issue,problem"
diabetes symptoms,Endocrinologist,Medium,"symptoms,diabetes,issue,pain,problem"
diabetes symptoms,Endocrinologist,Medium,"health,symptoms,diabetes,condition,problem"
diabetes symptoms,Endocrinologist,Medium,"symptom,health,symptoms,diabetes,problem"
diabetes symptoms,Endocrinologist,Medium,"health,symptoms,diabetes,issue,problem"
breathing difficulty,Pulmonologist,Critical,"symptom,breathing,issue,condition,difficulty"
joint pain,Orthopedic,Medium,"symptom,joint,health,issue,pain"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,issue,pain"
ear pain,ENT Specialist,Low,"symptom,pain,problem,ear"
kidney pain,Nephrologist,High,"kidney,condition,health,pain,problem"
pregnancy complications,Gynecologist,High,"symptom,health,complications,pregnancy,issue"
high blood pressure,Cardiologist,Medium,"health,blood,high,pressure,issue,condition"
fever,General Physician,Low,"health,pain,problem,fever"
diabetes symptoms,Endocrinologist,Medium,"symptom,symptoms,diabetes,pain,problem"
ear pain,ENT Specialist,Low,"condition,health,issue,pain,ear"
asthma attack,Pulmonologist,High,"attack,asthma,issue,pain,problem"
joint pain,Orthopedic,Medium,"problem,pain,joint,condition"
high blood pressure,Cardiologist,Medium,"symptom,health,blood,high,pressure,condition"
skin allergy,Dermatologist,Medium,"condition,health,skin,allergy,pain"
depression,Psychiatrist,Medium,"health,symptom,issue,depression"
cardiac arrest,Cardiologist,Critical,"cardiac,pain,arrest,health,condition"
fever,General Physician,Low,"health,issue,pain,fever"
high blood pressure,Cardiologist,Medium,"symptom,blood,high,pressure,issue,problem"
fever,General Physician,Low,"health,condition,problem,fever"
joint pain,Orthopedic,Medium,"problem,pain,joint,condition"
joint pain,Orthopedic,Medium,"problem,pain,joint,condition"
breathing difficulty,Pulmonologist,Critical,"symptom,breathing,pain,problem,difficulty"
skin infection,Dermatologist,Low,"pain,health,skin,condition,infection"
eye infection,Ophthalmologist,Low,"symptom,eye,issue,problem,infection"
cardiac arrest,Cardiologist,Critical,"symptom,condition,cardiac,arrest,pain"
depression,Psychiatrist,Medium,"problem,symptom,depression,condition"
stroke symptoms,Neurologist,Critical,"health,stroke,symptoms,pain,problem"
eye infection,Ophthalmologist,Low,"symptom,condition,eye,pain,infection"
ear pain,ENT Specialist,Low,"symptom,condition,health,pain,ear"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,condition,problem"
depression,Psychiatrist,Medium,"issue,problem,symptom,depression"
fever,General Physician,Low,"health,symptom,issue,fever"
breathing difficulty,Pulmonologist,Critical,"pain,breathing,condition,problem,difficulty"
eye infection,Ophthalmologist,Low,"health,eye,condition,problem,infection"
stroke symptoms,Neurologist,Critical,"health,stroke,symptoms,issue,condition"
thyroid issue,Endocrinologist,Medium,"symptom,pain,thyroid,issue,condition"
chest pain,Cardiologist,High,"chest,health,issue,pain"
kidney pain,Nephrologist,High,"symptom,kidney,health,pain"
stroke symptoms,Neurologist,Critical,"symptom,stroke,symptoms,issue,pain"
eye infection,Ophthalmologist,Low,"symptom,eye,issue,pain,infection"
eye infection,Ophthalmologist,Low,"health,eye,issue,pain,infection"
high blood pressure,Cardiologist,Medium,"symptom,blood,high,pressure,condition,problem"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,health,problem"
breathing difficulty,Pulmonologist,Critical,"pain,breathing,issue,condition,difficulty"
fever,General Physician,Low,"symptom,issue,fever,condition"
fracture,Orthopedic,High,"issue,fracture,problem,condition"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,pain,problem"
stroke symptoms,Neurologist,Critical,"symptom,pain,stroke,symptoms,condition"
fever,General Physician,Low,"health,condition,problem,fever"
diabetes symptoms,Endocrinologist,Medium,"pain,symptoms,diabetes,condition,problem"
diabetes symptoms,Endocrinologist,Medium,"symptoms,diabetes,issue,condition,problem"
joint pain,Orthopedic,Medium,"symptom,condition,joint,issue,pain"
stroke symptoms,Neurologist,Critical,"symptom,health,stroke,symptoms,problem"
migraine,Neurologist,Medium,"issue,pain,problem,migraine"
migraine,Neurologist,Medium,"health,issue,pain,migraine"
skin allergy,Dermatologist,Medium,"pain,health,skin,allergy,condition"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,condition,problem"
stroke symptoms,Neurologist,Critical,"condition,stroke,symptoms,pain,problem"
joint pain,Orthopedic,Medium,"symptom,condition,joint,issue,pain"
skin infection,Dermatologist,Low,"health,skin,issue,pain,infection"
thyroid issue,Endocrinologist,Medium,"issue,symptom,problem,thyroid"
skin infection,Dermatologist,Low,"symptom,skin,condition,problem,infection"
fever,General Physician,Low,"health,pain,fever,condition"
chest pain,Cardiologist,High,"chest,issue,pain,problem"
thyroid issue,Endocrinologist,Medium,"symptom,issue,condition,thyroid"
chest pain,Cardiologist,High,"chest,pain,problem,condition"
high blood pressure,Cardiologist,Medium,"symptom,blood,high,pressure,issue,problem"
high blood pressure,Cardiologist,Medium,"blood,high,pressure,issue,pain,problem"
depression,Psychiatrist,Medium,"problem,condition,depression,pain"
depression,Psychiatrist,Medium,"health,symptom,issue,depression"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,health,problem"
depression,Psychiatrist,Medium,"health,issue,pain,depression"
pregnancy complications,Gynecologist,High,"health,complications,pregnancy,condition,problem"
breathing difficulty,Pulmonologist,Critical,"health,breathing,issue,problem,difficulty"
fever,General Physician,Low,"issue,pain,problem,fever"
migraine,Neurologist,Medium,"symptom,condition,problem,migraine"
pregnancy complications,Gynecologist,High,"health,complications,pregnancy,condition,problem"
joint pain,Orthopedic,Medium,"symptom,condition,joint,pain,problem"
tooth pain,Dentist,Low,"health,symptom,pain,tooth"
diabetes symptoms,Endocrinologist,Medium,"symptom,symptoms,diabetes,issue,pain"
ear pain,ENT Specialist,Low,"symptom,issue,pain,ear"
diabetes symptoms,Endocrinologist,Medium,"health,symptoms,diabetes,pain,problem"
migraine,Neurologist,Medium,"symptom,pain,condition,migraine"
stroke symptoms,Neurologist,Critical,"condition,stroke,symptoms,pain,problem"
tooth pain,Dentist,Low,"condition,tooth,issue,pain,problem"
fracture,Orthopedic,High,"issue,symptom,fracture,problem"
fever,General Physician,Low,"symptom,pain,fever,condition"
fracture,Orthopedic,High,"issue,symptom,fracture,health"
migraine,Neurologist,Medium,"health,issue,pain,migraine"
tooth pain,Dentist,Low,"condition,health,tooth,issue,pain"
joint pain,Orthopedic,Medium,"symptom,joint,health,pain,problem"
cardiac arrest,Cardiologist,Critical,"cardiac,arrest,health,pain,problem"
ear pain,ENT Specialist,Low,"issue,pain,problem,ear"
tooth pain,Dentist,Low,"condition,tooth,issue,pain,problem"
joint pain,Orthopedic,Medium,"symptom,pain,joint,problem"
pregnancy complications,Gynecologist,High,"symptom,health,complications,pregnancy,issue"
depression,Psychiatrist,Medium,"symptom,pain,depression,problem"
breathing difficulty,Pulmonologist,Critical,"health,breathing,issue,pain,difficulty"
chest pain,Cardiologist,High,"condition,health,chest,issue,pain"
tooth pain,Dentist,Low,"health,tooth,issue,pain,problem"
fracture,Orthopedic,High,"health,symptom,fracture,condition"
joint pain,Orthopedic,Medium,"joint,health,issue,pain,problem"
fracture,Orthopedic,High,"issue,fracture,problem,condition"
breathing difficulty,Pulmonologist,Critical,"health,breathing,issue,condition,difficulty"
chest pain,Cardiologist,High,"condition,health,chest,pain,problem"
fever,General Physician,Low,"symptom,pain,problem,fever"
tooth pain,Dentist,Low,"issue,pain,problem,tooth"
breathing difficulty,Pulmonologist,Critical,"health,breathing,issue,pain,difficulty"
kidney pain,Nephrologist,High,"kidney,symptom,pain,health"
diabetes symptoms,Endocrinologist,Medium,"health,symptoms,diabetes,issue,pain"
skin allergy,Dermatologist,Medium,"symptom,pain,skin,allergy,condition"
diabetes symptoms,Endocrinologist,Medium,"health,symptoms,diabetes,condition,problem"
fever,General Physician,Low,"health,symptom,problem,fever"
thyroid issue,Endocrinologist,Medium,"pain,thyroid,issue,condition,problem"
cardiac arrest,Cardiologist,Critical,"condition,cardiac,arrest,pain,problem"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,issue,pain"
diabetes symptoms,Endocrinologist,Medium,"symptoms,diabetes,issue,pain,problem"
asthma attack,Pulmonologist,High,"attack,health,asthma,pain,problem"
chest pain,Cardiologist,High,"chest,symptom,pain,condition"
stroke symptoms,Neurologist,Critical,"symptom,health,stroke,symptoms,issue"
tooth pain,Dentist,Low,"health,pain,problem,tooth"
high blood pressure,Cardiologist,Medium,"symptom,blood,high,pressure,issue,condition"
thyroid issue,Endocrinologist,Medium,"health,thyroid,issue,condition,problem"
migraine,Neurologist,Medium,"pain,condition,problem,migraine"
stroke symptoms,Neurologist,Critical,"health,stroke,symptoms,issue,condition"
kidney pain,Nephrologist,High,"symptom,kidney,issue,pain"
joint pain,Orthopedic,Medium,"symptom,condition,joint,issue,pain"
high blood pressure,Cardiologist,Medium,"health,blood,high,pressure,pain,problem"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,issue,pain"
chest pain,Cardiologist,High,"chest,health,pain,condition"
chest pain,Cardiologist,High,"health,chest,issue,pain,problem"
joint pain,Orthopedic,Medium,"health,symptom,pain,joint"
depression,Psychiatrist,Medium,"problem,issue,depression,condition"
asthma attack,Pulmonologist,High,"symptom,attack,asthma,issue,problem"
tooth pain,Dentist,Low,"health,tooth,issue,pain,problem"
cardiac arrest,Cardiologist,Critical,"symptom,condition,cardiac,arrest,pain"
skin infection,Dermatologist,Low,"symptom,health,skin,issue,infection"
high blood pressure,Cardiologist,Medium,"symptom,blood,high,pressure,pain,problem"
tooth pain,Dentist,Low,"symptom,condition,tooth,issue,pain"
depression,Psychiatrist,Medium,"symptom,issue,condition,depression"
breathing difficulty,Pulmonologist,Critical,"condition,health,breathing,pain,difficulty"
pregnancy complications,Gynecologist,High,"health,complications,pregnancy,issue,problem"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,health,condition"
depression,Psychiatrist,Medium,"problem,symptom,depression,condition"
fever,General Physician,Low,"health,condition,problem,fever"
skin allergy,Dermatologist,Medium,"pain,health,skin,allergy,condition"
asthma attack,Pulmonologist,High,"condition,attack,health,asthma,pain"
stroke symptoms,Neurologist,Critical,"symptom,stroke,symptoms,issue,problem"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,health,condition"
joint pain,Orthopedic,Medium,"symptom,joint,issue,pain,problem"
asthma attack,Pulmonologist,High,"condition,attack,asthma,pain,problem"
chest pain,Cardiologist,High,"chest,issue,pain,problem"
stroke symptoms,Neurologist,Critical,"health,stroke,symptoms,pain,problem"
eye infection,Ophthalmologist,Low,"symptom,pain,eye,condition,infection"
stroke symptoms,Neurologist,Critical,"health,stroke,symptoms,condition,problem"
high blood pressure,Cardiologist,Medium,"health,blood,high,pressure,issue,problem"
migraine,Neurologist,Medium,"symptom,pain,condition,migraine"
eye infection,Ophthalmologist,Low,"health,eye,condition,problem,infection"
thyroid issue,Endocrinologist,Medium,"health,issue,symptom,thyroid"
stroke symptoms,Neurologist,Critical,"symptom,health,stroke,symptoms,condition"
diabetes symptoms,Endocrinologist,Medium,"symptom,symptoms,diabetes,pain,problem"
joint pain,Orthopedic,Medium,"health,issue,pain,joint"
diabetes symptoms,Endocrinologist,Medium,"symptom,health,symptoms,diabetes,condition"
skin infection,Dermatologist,Low,"symptom,skin,issue,problem,infection"
fracture,Orthopedic,High,"symptom,issue,fracture,problem"
migraine,Neurologist,Medium,"health,symptom,problem,migraine"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,issue,condition"
ear pain,ENT Specialist,Low,"issue,pain,ear,condition"
cardiac arrest,Cardiologist,Critical,"cardiac,arrest,health,issue,condition"
fracture,Orthopedic,High,"issue,fracture,problem,condition"
diabetes symptoms,Endocrinologist,Medium,"symptoms,diabetes,issue,condition,problem"
eye infection,Ophthalmologist,Low,"condition,health,eye,pain,infection"
